"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester Utd",1,NA,0,1,1,0,0,3,5,1,4,51.99,12.5,0.55
"Liverpool",3,NA,0,1,1,0,0,3,3,0,3,71.1,25.94,0.11
"Chelsea",2,NA,0,1,1,0,0,3,3,0,3,64.9,19.74,0.21
"West Ham",4,NA,0,1,1,0,0,3,4,2,2,17,2.08,4.56
"Everton",5,NA,0,1,1,0,0,3,3,1,2,11.35,1.02,7.31
"Brentford",6,NA,0,1,1,0,0,3,2,0,2,3.37,0.19,20.65
"Watford",7,NA,0,1,1,0,0,3,3,2,1,1.53,0.05,33.46
"Brighton",8,NA,0,1,1,0,0,3,2,1,1,11.74,1.23,7.21
"Tottenham",10,NA,0,1,1,0,0,3,1,0,1,34.28,5.26,1.5
"Leicester City",9,NA,0,1,1,0,0,3,1,0,1,19.74,2.4,3.85
"Aston Villa",11,NA,0,1,0,1,0,0,2,3,-1,6.78,0.53,12.69
"Burnley",12,NA,0,1,0,1,0,0,1,2,-1,1.5,0.11,32.1
"Manchester City",13,NA,0,1,0,1,0,0,0,1,-1,71.4,26.17,0.08
"Wolves",14,NA,0,1,0,1,0,0,0,1,-1,5.15,0.24,17.28
"Newcastle Utd",15,NA,0,1,0,1,0,0,2,4,-2,2.46,0.06,26.21
"Southampton",16,NA,0,1,0,1,0,0,1,3,-2,1.68,0.06,31.04
"Arsenal",17,NA,0,1,0,1,0,0,0,2,-2,14.75,1.74,5.6
"Crystal Palace",18,NA,0,1,0,1,0,0,0,3,-3,0.95,0.06,38.3
"Norwich City",19,NA,0,1,0,1,0,0,0,3,-3,0.76,0.05,45.52
"Leeds United",20,NA,0,1,0,1,0,0,1,5,-4,7.57,0.57,11.77
