"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,28,22,3,3,69,68,18,50,100,75.2,0
"Liverpool",2,2,0,27,19,2,6,63,71,20,51,100,24.1,0
"Chelsea",3,3,0,27,16,3,8,56,56,19,37,98.7,0.7,0
"Arsenal",4,6,2,25,15,7,3,48,41,29,12,61.9,0,0
"Manchester Utd",5,4,-1,28,13,7,8,47,45,38,7,11.2,0,0
"West Ham",6,5,-1,28,13,9,6,45,46,35,11,4.5,0,0
"Tottenham",7,8,1,26,14,9,3,45,40,32,8,22.9,0,0
"Wolves",8,7,-1,28,13,11,4,43,28,23,5,0.5,0,0
"Aston Villa",9,10,1,27,11,13,3,36,40,37,3,0.1,0,0
"Southampton",10,9,-1,28,8,9,11,35,35,43,-8,0,0,0.2
"Crystal Palace",11,12,1,28,7,9,12,33,39,38,1,0,0,0.3
"Leicester City",12,13,1,25,9,10,6,33,40,43,-3,0.2,0,0.1
"Brighton",13,11,-2,27,7,8,12,33,26,32,-6,0,0,0.1
"Newcastle Utd",14,14,0,27,7,10,10,31,32,47,-15,0,0,1.1
"Brentford",15,15,0,28,7,15,6,27,30,45,-15,0,0,8.9
"Leeds United",16,16,0,28,5,15,8,23,29,64,-35,0,0,49.4
"Everton",17,17,0,25,6,15,4,22,28,46,-18,0,0,21.5
"Burnley",18,18,0,26,3,11,12,21,22,36,-14,0,0,34.8
"Watford",19,19,0,28,5,19,4,19,27,54,-27,0,0,88.4
"Norwich City",20,20,0,28,4,19,5,17,17,61,-44,0,0,95.2
