"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,27,21,3,3,66,64,17,47,100,75.6,0
"Liverpool",2,2,0,26,18,2,6,60,70,20,50,100,23.9,0
"Chelsea",3,3,0,25,14,3,8,50,49,18,31,95.2,0.5,0
"Manchester Utd",4,4,0,27,13,6,8,47,44,34,10,21.2,0,0
"West Ham",5,6,1,27,13,8,6,45,46,34,12,8.3,0,0
"Arsenal",6,5,-1,24,14,7,3,45,38,27,11,54.7,0,0
"Tottenham",7,8,1,25,13,9,3,42,35,32,3,18.1,0,0
"Wolves",8,7,-1,26,12,10,4,40,24,21,3,2,0,0
"Southampton",9,10,1,26,8,7,11,35,34,37,-3,0.2,0,0
"Brighton",10,9,-1,26,7,7,12,33,25,30,-5,0,0,0
"Crystal Palace",11,12,1,27,6,9,12,30,37,38,-1,0,0,0.9
"Leicester City",12,11,-1,24,8,10,6,30,39,43,-4,0.2,0,0.1
"Aston Villa",13,13,0,25,9,13,3,30,33,37,-4,0.1,0,0.4
"Newcastle Utd",14,17,3,25,5,10,10,25,28,45,-17,0,0,17.8
"Brentford",15,14,-1,27,6,15,6,24,27,44,-17,0,0,28.7
"Leeds United",16,15,-1,26,5,13,8,23,29,60,-31,0,0,34.9
"Everton",17,16,-1,24,6,14,4,22,28,41,-13,0,0,18.5
"Burnley",18,18,0,25,3,10,12,21,22,32,-10,0,0,29.1
"Watford",19,19,0,26,5,17,4,19,25,47,-22,0,0,79.3
"Norwich City",20,20,0,26,4,17,5,17,15,55,-40,0,0,90.3
