"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,19,15,2,2,47,50,12,38,99.9,62.9,0
"Liverpool",2,2,0,18,12,1,5,41,50,15,35,99.3,27.5,0
"Chelsea",3,3,0,19,12,2,5,41,42,13,29,96.6,8.9,0
"Arsenal",4,4,0,19,11,6,2,35,32,23,9,47.2,0.2,0
"Tottenham",5,7,2,16,9,5,2,29,21,19,2,25.6,0.4,0
"West Ham",6,5,-1,18,8,6,4,28,30,24,6,8.7,0,0
"Manchester Utd",7,6,-1,17,8,5,4,28,27,25,2,16.7,0.1,0
"Wolves",8,8,0,18,7,7,4,25,13,14,-1,1.3,0,1
"Brighton",9,13,4,17,5,4,8,23,16,17,-1,1.4,0,1.2
"Leicester City",10,9,-1,17,6,7,4,22,30,33,-3,1.6,0,1
"Aston Villa",11,10,-1,18,7,10,1,22,24,28,-4,1,0,1
"Crystal Palace",12,11,-1,18,4,6,8,20,24,27,-3,0.2,0,4.4
"Brentford",13,12,-1,17,5,7,5,20,21,24,-3,0.2,0,7.1
"Southampton",14,15,1,18,4,6,8,20,19,28,-9,0,0,8.2
"Everton",15,14,-1,17,5,8,4,19,21,29,-8,0.2,0,7.3
"Leeds United",16,16,0,18,3,8,7,16,18,36,-18,0.1,0,24.4
"Watford",17,17,0,16,4,11,1,13,21,31,-10,0,0,39.3
"Burnley",18,18,0,15,1,6,8,11,14,21,-7,0,0,32.1
"Newcastle Utd",19,19,0,19,1,10,8,11,19,42,-23,0,0,82.4
"Norwich City",20,20,0,18,2,12,4,10,8,39,-31,0,0,90.6
