"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,38,29,3,6,93,99,26,73,100,100,0
"Liverpool",2,2,0,38,28,2,8,92,94,26,68,100,0,0
"Chelsea",3,3,0,38,21,6,11,74,76,33,43,100,0,0
"Tottenham",4,4,0,38,22,11,5,71,69,40,29,100,0,0
"Arsenal",5,5,0,38,22,13,3,69,61,48,13,0,0,0
"Manchester Utd",6,6,0,38,16,12,10,58,57,57,0,0,0,0
"West Ham",7,7,0,38,16,14,8,56,60,51,9,0,0,0
"Leicester City",8,9,1,38,14,14,10,52,62,59,3,0,0,0
"Brighton",9,10,1,38,12,11,15,51,42,44,-2,0,0,0
"Wolves",10,8,-2,38,15,17,6,51,38,43,-5,0,0,0
"Newcastle Utd",11,12,1,38,13,15,10,49,44,62,-18,0,0,0
"Crystal Palace",12,13,1,38,11,12,15,48,50,46,4,0,0,0
"Brentford",13,11,-2,38,13,18,7,46,48,56,-8,0,0,0
"Aston Villa",14,14,0,38,13,19,6,45,52,54,-2,0,0,0
"Southampton",15,15,0,38,9,16,13,40,43,67,-24,0,0,0
"Everton",16,16,0,38,11,21,6,39,43,66,-23,0,0,0
"Leeds United",17,18,1,38,9,18,11,38,42,79,-37,0,0,0
"Burnley",18,17,-1,38,7,17,14,35,34,53,-19,0,0,100
"Watford",19,19,0,38,6,27,5,23,34,77,-43,0,0,100
"Norwich City",20,20,0,38,5,26,7,22,23,84,-61,0,0,100
