"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,30,23,3,4,73,70,18,52,100,59,0
"Liverpool",2,2,0,30,22,2,6,72,77,20,57,100,41,0
"Chelsea",3,3,0,29,17,4,8,59,58,23,35,97.7,0,0
"Tottenham",4,5,1,30,17,10,3,54,52,37,15,41.7,0,0
"Arsenal",5,4,-1,29,17,9,3,54,44,34,10,51.4,0,0
"West Ham",6,7,1,31,15,10,6,51,51,40,11,3.1,0,0
"Manchester Utd",7,6,-1,30,14,7,9,51,49,41,8,6,0,0
"Wolves",8,8,0,31,15,12,4,49,33,27,6,0.1,0,0
"Crystal Palace",9,12,3,30,8,9,13,37,42,38,4,0,0,0
"Leicester City",10,10,0,28,10,11,7,37,43,47,-4,0,0,0
"Aston Villa",11,9,-2,30,11,16,3,36,42,42,0,0,0,0
"Southampton",12,11,-1,30,8,10,12,36,37,46,-9,0,0,0.1
"Brighton",13,13,0,30,7,10,13,34,26,36,-10,0,0,0.6
"Brentford",14,15,1,31,9,16,6,33,37,48,-11,0,0,1.2
"Newcastle Utd",15,14,-1,30,7,13,10,31,33,54,-21,0,0,5.6
"Leeds United",16,16,0,31,7,15,9,30,35,68,-33,0,0,22.2
"Everton",17,17,0,28,7,17,4,25,30,49,-19,0,0,29.6
"Watford",18,18,0,30,6,20,4,22,29,57,-28,0,0,85.7
"Burnley",19,19,0,28,3,13,12,21,22,40,-18,0,0,55.6
"Norwich City",20,20,0,30,4,20,6,18,18,63,-45,0,0,99.4
