"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,29,22,3,4,70,68,18,50,100,57.3,0
"Liverpool",2,2,0,29,21,2,6,69,75,20,55,100,42.1,0
"Chelsea",3,3,0,28,17,3,8,59,57,19,38,99.7,0.6,0
"Arsenal",4,4,0,27,16,8,3,51,43,31,12,61.6,0,0
"Manchester Utd",5,5,0,29,14,7,8,50,48,40,8,12.4,0,0
"West Ham",6,6,0,29,14,9,6,48,48,36,12,7.3,0,0
"Tottenham",7,7,0,28,15,10,3,48,44,35,9,18.9,0,0
"Wolves",8,8,0,30,14,12,4,46,31,26,5,0.1,0,0
"Aston Villa",9,9,0,28,11,14,3,36,41,39,2,0,0,0
"Southampton",10,10,0,29,8,10,11,35,36,45,-9,0,0,0.1
"Crystal Palace",11,11,0,29,7,9,13,34,39,38,1,0,0,0.4
"Leicester City",12,12,0,26,9,11,6,33,40,45,-5,0,0,0
"Brighton",13,13,0,29,7,10,12,33,26,36,-10,0,0,0.7
"Newcastle Utd",14,14,0,29,7,12,10,31,32,49,-17,0,0,4.6
"Brentford",15,15,0,29,8,15,6,30,32,45,-13,0,0,5.3
"Leeds United",16,16,0,30,7,15,8,29,34,67,-33,0,0,22.2
"Everton",17,17,0,27,7,16,4,25,29,47,-18,0,0,28.7
"Watford",18,18,0,29,6,19,4,22,29,55,-26,0,0,84.5
"Burnley",19,19,0,27,3,12,12,21,22,38,-16,0,0,54.8
"Norwich City",20,20,0,29,4,20,5,17,18,63,-45,0,0,98.7
