"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,17,13,2,2,41,40,9,31,99.9,54,0
"Liverpool",2,2,0,17,12,1,4,40,48,13,35,99.7,39.8,0
"Chelsea",3,3,0,17,11,2,4,37,39,12,27,95,6.1,0
"Arsenal",4,6,2,17,9,6,2,29,23,22,1,27.2,0.1,0
"West Ham",5,4,-1,17,8,5,4,28,28,21,7,20.2,0,0.2
"Manchester Utd",6,5,-1,16,8,5,3,27,26,24,2,24.8,0,0.1
"Tottenham",7,7,0,14,8,5,1,25,16,17,-1,18.6,0,0
"Wolves",8,9,1,17,7,7,3,24,13,14,-1,2.4,0,1.8
"Leicester City",9,8,-1,16,6,6,4,22,27,27,0,3.5,0,1.5
"Aston Villa",10,13,3,17,7,9,1,22,23,25,-2,2.4,0,0.9
"Crystal Palace",11,12,1,17,4,5,8,20,24,24,0,1.4,0,3.6
"Brentford",12,10,-2,16,5,6,5,20,21,22,-1,1.1,0,5.2
"Brighton",13,11,-2,16,4,4,8,20,14,17,-3,3.2,0,1.9
"Everton",14,14,0,17,5,8,4,19,21,29,-8,0.4,0,6.9
"Southampton",15,16,1,17,3,6,8,17,16,26,-10,0.1,0,15.4
"Leeds United",16,15,-1,17,3,7,7,16,17,32,-15,0.1,0,22.9
"Watford",17,17,0,16,4,11,1,13,21,31,-10,0,0,41.2
"Burnley",18,18,0,15,1,6,8,11,14,21,-7,0,0,37.7
"Newcastle Utd",19,19,0,17,1,9,7,10,18,37,-19,0,0,77.2
"Norwich City",20,20,0,17,2,11,4,10,8,34,-26,0,0,83.5
