"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,22,18,2,2,56,54,13,41,100,88.5,0
"Liverpool",2,3,1,21,13,2,6,45,55,18,37,99.2,9.9,0
"Chelsea",3,2,-1,22,12,3,7,43,45,17,28,92.2,1.6,0
"West Ham",4,4,0,22,11,7,4,37,41,30,11,13.8,0,0
"Arsenal",5,5,0,20,11,7,2,35,33,25,8,38.9,0,0
"Tottenham",6,6,0,18,10,5,3,33,23,20,3,35,0,0
"Manchester Utd",7,7,0,20,9,6,5,32,32,29,3,10,0,0
"Wolves",8,8,0,20,9,7,4,31,17,15,2,4.5,0,0
"Brighton",9,9,0,20,6,4,10,28,21,21,0,2.5,0,0.1
"Leicester City",10,10,0,18,7,7,4,25,31,33,-2,3.4,0,0.2
"Crystal Palace",11,12,1,21,5,7,9,24,30,31,-1,0.1,0,3.3
"Southampton",12,11,-1,21,5,7,9,24,25,33,-8,0.1,0,4.2
"Aston Villa",13,14,1,20,7,11,2,23,27,32,-5,0.2,0,0.9
"Brentford",14,13,-1,21,6,10,5,23,24,33,-9,0,0,5.3
"Leeds United",15,16,1,20,5,8,7,22,24,39,-15,0.1,0,5.8
"Everton",16,15,-1,19,5,10,4,19,24,34,-10,0,0,9.9
"Watford",17,17,0,19,4,13,2,14,23,37,-14,0,0,56.4
"Norwich City",18,20,2,21,3,14,4,13,10,45,-35,0,0,87.7
"Newcastle Utd",19,19,0,20,1,10,9,12,20,43,-23,0,0,81.3
"Burnley",20,18,-2,17,1,8,8,11,16,27,-11,0,0,44.9
