"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Chelsea",1,1,0,11,8,1,2,26,27,4,23,91.4,25.1,0
"Manchester City",2,3,1,11,7,2,2,23,22,6,16,97,47,0
"West Ham",3,4,1,11,7,2,2,23,23,13,10,44.7,1.9,0
"Liverpool",4,2,-2,11,6,1,4,22,31,11,20,91.4,24.4,0
"Arsenal",5,6,1,11,6,3,2,20,13,13,0,20.8,0.3,0.8
"Manchester Utd",6,5,-1,11,5,4,2,17,19,17,2,24.2,0.9,0.3
"Brighton",7,8,1,11,4,2,5,17,12,12,0,7.4,0,1.4
"Wolves",8,7,-1,11,5,5,1,16,11,12,-1,2.8,0,4.4
"Tottenham",9,9,0,11,5,5,1,16,9,16,-7,5.9,0,1.4
"Crystal Palace",10,13,3,11,3,2,6,15,15,14,1,4.6,0,2.4
"Everton",11,10,-1,11,4,4,3,15,16,16,0,1.9,0.2,5.2
"Leicester City",12,11,-1,11,4,4,3,15,16,18,-2,4.4,0.2,1.9
"Southampton",13,14,1,11,3,3,5,14,10,12,-2,1.6,0,7.7
"Brentford",14,12,-2,11,3,5,3,12,13,14,-1,0.5,0,9.4
"Leeds United",15,17,2,11,2,4,5,11,11,18,-7,0.9,0,14.7
"Aston Villa",16,15,-1,11,3,7,1,10,14,20,-6,0.4,0,16.2
"Watford",17,16,-1,11,3,7,1,10,12,19,-7,0.1,0,45.7
"Burnley",18,18,0,11,1,5,5,8,11,17,-6,0,0,38.6
"Newcastle Utd",19,19,0,11,0,6,5,5,12,24,-12,0,0,70.4
"Norwich City",20,20,0,11,1,8,2,5,5,26,-21,0,0,79.5
