"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,18,14,2,2,44,44,9,35,99.8,64.3,0
"Liverpool",2,2,0,18,12,1,5,41,50,15,35,99.5,30.7,0
"Chelsea",3,3,0,18,11,2,5,38,39,12,27,94.1,4.9,0
"Arsenal",4,4,0,18,10,6,2,32,27,23,4,40.5,0.1,0
"West Ham",5,5,0,17,8,5,4,28,28,21,7,17.5,0,0.1
"Manchester Utd",6,6,0,16,8,5,3,27,26,24,2,25.9,0,0.2
"Tottenham",7,7,0,15,8,5,2,26,18,19,-1,12.8,0,0.1
"Wolves",8,8,0,18,7,7,4,25,13,14,-1,1.5,0,1.2
"Leicester City",9,9,0,16,6,6,4,22,27,27,0,3,0,1.2
"Aston Villa",10,10,0,17,7,9,1,22,23,25,-2,1.5,0,1.2
"Crystal Palace",11,11,0,17,4,5,8,20,24,24,0,1,0,3
"Brentford",12,12,0,16,5,6,5,20,21,22,-1,0.4,0,4.2
"Brighton",13,13,0,16,4,4,8,20,14,17,-3,1.8,0,1.8
"Everton",14,14,0,17,5,8,4,19,21,29,-8,0.6,0,8.7
"Southampton",15,15,0,17,3,6,8,17,16,26,-10,0.1,0,13.4
"Leeds United",16,16,0,18,3,8,7,16,18,36,-18,0,0,30.1
"Watford",17,17,0,16,4,11,1,13,21,31,-10,0,0,36.4
"Burnley",18,18,0,15,1,6,8,11,14,21,-7,0,0,33.3
"Newcastle Utd",19,19,0,18,1,10,7,10,18,41,-23,0,0,81.5
"Norwich City",20,20,0,17,2,11,4,10,8,34,-26,0,0,83.6
