"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"West Ham",1,4,3,2,2,0,0,6,8,3,5,23.5,2.4,1.8
"Chelsea",2,2,0,2,2,0,0,6,5,0,5,73,23.9,0
"Liverpool",3,3,0,2,2,0,0,6,5,0,5,69.7,20.8,0
"Brighton",4,8,4,2,2,0,0,6,4,1,3,16.1,1.5,2.5
"Tottenham",5,10,5,2,2,0,0,6,2,0,2,32.3,4.4,0.5
"Manchester Utd",6,1,-5,2,1,0,1,4,6,2,4,45.1,7,0.9
"Everton",7,5,-2,2,1,0,1,4,5,3,2,12.5,1.3,5.2
"Brentford",8,6,-2,2,1,0,1,4,2,0,2,2.4,0.2,22.4
"Manchester City",9,13,4,2,1,1,0,3,5,1,4,82,35.7,0
"Aston Villa",10,11,1,2,1,1,0,3,4,3,1,7.3,0.4,8.3
"Watford",11,7,-4,2,1,1,0,3,3,4,-1,0.7,0,33.4
"Leicester City",12,9,-3,2,1,1,0,3,2,4,-2,14.1,1.3,3
"Southampton",13,16,3,2,0,1,1,1,2,4,-2,1.7,0.1,29
"Crystal Palace",14,18,4,2,0,1,1,1,0,3,-3,0.3,0,39.7
"Leeds United",15,20,5,2,0,1,1,1,3,7,-4,3.2,0.2,14.6
"Wolves",16,14,-2,2,0,2,0,0,0,2,-2,2.9,0,18.1
"Burnley",17,12,-5,2,0,2,0,0,1,4,-3,1.5,0,33.3
"Newcastle Utd",18,15,-3,2,0,2,0,0,2,6,-4,0.7,0.1,34.4
"Arsenal",19,17,-2,2,0,2,0,0,0,4,-4,10.4,0.7,5.1
"Norwich City",20,19,-1,2,0,2,0,0,0,8,-8,0.6,0,47.8
