"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Chelsea",1,1,0,14,10,1,3,33,33,6,27,97.6,23.8,0
"Manchester City",2,2,0,14,10,2,2,32,29,8,21,99.5,41.8,0
"Liverpool",3,3,0,14,9,1,4,31,43,12,31,98.3,33.8,0
"West Ham",4,4,0,14,7,4,3,24,25,17,8,26.2,0.3,0.1
"Arsenal",5,5,0,14,7,5,2,23,17,20,-3,19.2,0,0.4
"Tottenham",6,7,1,13,7,5,1,22,13,17,-4,18.4,0.1,0.5
"Manchester Utd",7,8,1,14,6,5,3,21,24,24,0,20.6,0.2,0.2
"Wolves",8,6,-2,14,6,5,3,21,12,12,0,2.8,0,2.4
"Brighton",9,9,0,14,4,3,7,19,13,15,-2,6.2,0,1.9
"Leicester City",10,10,0,14,5,5,4,19,22,25,-3,4.2,0,3.2
"Crystal Palace",11,11,0,14,3,4,7,16,19,20,-1,1.9,0,7
"Brentford",12,12,0,14,4,6,4,16,17,19,-2,0.8,0,14.5
"Aston Villa",13,13,0,14,5,8,1,16,19,23,-4,1.9,0,6.3
"Everton",14,14,0,14,4,7,3,15,17,24,-7,0.7,0,11.6
"Leeds United",15,17,2,14,3,5,6,15,13,20,-7,0.8,0,12.1
"Southampton",16,15,-1,14,3,5,6,15,13,20,-7,0.8,0,14.5
"Watford",17,16,-1,14,4,9,1,13,19,26,-7,0.1,0,31.9
"Burnley",18,18,0,13,1,5,7,10,14,20,-6,0,0,39.8
"Norwich City",19,19,0,14,2,8,4,10,8,28,-20,0,0,72
"Newcastle Utd",20,20,0,14,0,7,7,7,16,30,-14,0,0,81.6
