"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,25,20,2,3,63,61,14,47,100,86,0
"Liverpool",2,2,0,24,16,2,6,54,61,19,42,100,14,0
"Chelsea",3,3,0,24,13,3,8,47,48,18,30,93.6,0,0
"Manchester Utd",4,4,0,25,12,6,7,43,40,32,8,26,0,0
"West Ham",5,5,0,25,12,8,5,41,44,33,11,14.6,0,0
"Arsenal",6,6,0,22,12,7,3,39,34,25,9,41.7,0,0
"Wolves",7,8,1,23,11,8,4,37,21,17,4,7.9,0,0
"Tottenham",8,7,-1,22,11,8,3,36,28,29,-1,14.2,0,0
"Brighton",9,9,0,24,7,5,12,33,25,25,0,1.2,0,0
"Southampton",10,10,0,24,6,7,11,29,30,37,-7,0,0,0.8
"Leicester City",11,12,1,22,7,9,6,27,36,41,-5,0.6,0,0.7
"Aston Villa",12,11,-1,23,8,12,3,27,31,36,-5,0.2,0,1.1
"Crystal Palace",13,13,0,24,5,8,11,26,32,35,-3,0,0,2.4
"Brentford",14,14,0,25,6,13,6,24,26,40,-14,0,0,13.8
"Leeds United",15,15,0,23,5,10,8,23,27,46,-19,0,0,12.8
"Everton",16,16,0,22,6,12,4,22,28,38,-10,0,0,11.2
"Newcastle Utd",17,17,0,23,4,10,9,21,25,44,-19,0,0,36.4
"Norwich City",18,18,0,24,4,15,5,17,14,50,-36,0,0,82.7
"Watford",19,19,0,23,4,16,3,15,23,43,-20,0,0,81
"Burnley",20,20,0,21,1,9,11,14,17,29,-12,0,0,57.1
