"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Chelsea",1,1,0,9,7,1,1,22,23,3,20,86,13.7,0
"Liverpool",2,2,0,9,6,0,3,21,27,6,21,96.5,41.5,0
"Manchester City",3,3,0,9,6,1,2,20,20,4,16,98.1,43.5,0
"West Ham",4,7,3,9,5,2,2,17,16,10,6,22,0.2,0.7
"Brighton",5,4,-1,9,4,2,3,15,9,9,0,9.7,0,2.2
"Tottenham",6,5,-1,9,5,4,0,15,9,13,-4,12.6,0.2,1.2
"Manchester Utd",7,6,-1,9,4,3,2,14,16,15,1,26.7,0.3,0.4
"Everton",8,8,0,9,4,3,2,14,15,14,1,4.1,0,5.2
"Leicester City",9,11,2,9,4,3,2,14,15,15,0,13.8,0.1,0.5
"Arsenal",10,12,2,9,4,3,2,14,10,13,-3,17.7,0.3,1.1
"Wolves",11,10,-1,9,4,4,1,13,9,9,0,4.7,0,4.7
"Brentford",12,9,-3,9,3,3,3,12,11,9,2,2.9,0.1,6.1
"Aston Villa",13,13,0,9,3,5,1,10,13,15,-2,2.2,0,7.9
"Watford",14,16,2,9,3,5,1,10,12,17,-5,0.6,0,23.7
"Crystal Palace",15,14,-1,9,1,2,6,9,11,14,-3,1.1,0.1,14.1
"Southampton",16,15,-1,9,1,3,5,8,8,12,-4,0.4,0,19.3
"Leeds United",17,17,0,9,1,4,4,7,8,16,-8,0.6,0,23
"Burnley",18,18,0,9,0,5,4,4,7,15,-8,0.3,0,48.4
"Newcastle Utd",19,19,0,9,0,5,4,4,11,20,-9,0,0,58.5
"Norwich City",20,20,0,9,0,7,2,2,2,23,-21,0,0,83
