"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,34,26,3,5,83,84,21,63,100,57.9,0
"Liverpool",2,2,0,34,25,2,7,82,86,22,64,100,42.1,0
"Chelsea",3,3,0,34,19,6,9,66,68,29,39,98.8,0,0
"Arsenal",4,4,0,34,20,11,3,63,54,41,13,68.6,0,0
"Tottenham",5,5,0,34,19,11,4,61,59,39,20,32.6,0,0
"Manchester Utd",6,6,0,35,15,10,10,55,54,52,2,0,0,0
"West Ham",7,7,0,35,15,13,7,52,53,46,7,0,0,0
"Wolves",8,8,0,34,15,15,4,49,33,32,1,0,0,0
"Brighton",9,11,2,35,10,11,14,44,34,42,-8,0,0,0
"Newcastle Utd",10,9,-1,35,11,14,10,43,40,56,-16,0,0,0
"Leicester City",11,10,-1,33,11,13,9,42,48,54,-6,0,0,0
"Crystal Palace",12,14,2,34,9,11,14,41,45,42,3,0,0,0
"Aston Villa",13,15,2,33,12,17,4,40,44,46,-2,0,0,0.2
"Brentford",14,12,-2,34,11,16,7,40,41,49,-8,0,0,0.1
"Southampton",15,13,-2,35,9,13,13,40,41,58,-17,0,0,0.4
"Burnley",16,17,1,34,7,14,13,34,31,46,-15,0,0,23.2
"Leeds United",17,16,-1,34,8,16,10,34,38,72,-34,0,0,36.4
"Everton",18,18,0,33,9,19,5,32,35,55,-20,0,0,39.7
"Watford",19,19,0,34,6,24,4,22,32,69,-37,0,0,100
"Norwich City",20,20,0,34,5,23,6,21,22,71,-49,0,0,100
