"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Chelsea",1,1,0,12,9,1,2,29,30,4,26,96.7,31.1,0
"Manchester City",2,2,0,12,8,2,2,26,25,6,19,98.6,40.7,0
"Liverpool",3,4,1,12,7,1,4,25,35,11,24,96.6,27.1,0
"West Ham",4,3,-1,12,7,3,2,23,23,14,9,35.9,0.6,0.1
"Arsenal",5,5,0,12,6,4,2,20,13,17,-4,22,0.3,0.7
"Wolves",6,8,2,12,6,5,1,19,12,12,0,5.3,0,2.4
"Tottenham",7,9,2,12,6,5,1,19,11,17,-6,10.2,0,1.6
"Manchester Utd",8,6,-2,12,5,5,2,17,20,21,-1,15.3,0.1,0.5
"Brighton",9,7,-2,12,4,3,5,17,12,14,-2,5.9,0,2.5
"Crystal Palace",10,10,0,12,3,2,7,16,18,17,1,4.4,0,4.7
"Everton",11,11,0,12,4,5,3,15,16,19,-3,2.5,0,8.8
"Leicester City",12,12,0,12,4,5,3,15,16,21,-5,3,0,5.3
"Southampton",13,13,0,12,3,4,5,14,11,14,-3,0.9,0,13
"Brentford",14,14,0,12,3,5,4,13,16,17,-1,0.8,0.1,14.6
"Aston Villa",15,16,1,12,4,7,1,13,16,20,-4,1.4,0,10.8
"Watford",16,17,1,12,4,7,1,13,16,20,-4,0.1,0,31.9
"Leeds United",17,15,-2,12,2,5,5,11,12,20,-8,0.4,0,23.6
"Burnley",18,18,0,12,1,5,6,9,14,20,-6,0,0,37.1
"Norwich City",19,20,1,12,2,8,2,8,7,27,-20,0,0,74.6
"Newcastle Utd",20,19,-1,12,0,6,6,6,15,27,-12,0,0,67.8
