"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,20,16,2,2,50,51,12,39,100,78,0
"Chelsea",2,3,1,20,12,2,6,42,43,14,29,93.2,4.1,0
"Liverpool",3,2,-1,19,12,2,5,41,50,16,34,98.6,17.8,0
"Arsenal",4,4,0,19,11,6,2,35,32,23,9,46.1,0.1,0
"West Ham",5,6,1,19,9,6,4,31,34,25,9,13.1,0,0
"Manchester Utd",6,7,1,18,9,5,4,31,30,26,4,19,0,0
"Tottenham",7,5,-2,17,9,5,3,30,22,20,2,22.3,0,0
"Wolves",8,8,0,18,7,7,4,25,13,14,-1,1.5,0,0.5
"Leicester City",9,10,1,18,7,7,4,25,31,33,-2,2.7,0,0.4
"Brighton",10,9,-1,18,5,4,9,24,17,18,-1,1.7,0,0.7
"Crystal Palace",11,12,1,19,5,6,8,23,27,27,0,0.3,0,2.5
"Aston Villa",12,11,-1,18,7,10,1,22,24,28,-4,1.2,0,1.4
"Southampton",13,14,1,19,4,6,9,21,20,29,-9,0.1,0,7.4
"Brentford",14,13,-1,18,5,8,5,20,21,25,-4,0.1,0,7.4
"Everton",15,15,0,17,5,8,4,19,21,29,-8,0.1,0,6.3
"Leeds United",16,16,0,18,3,8,7,16,18,36,-18,0,0,26.5
"Watford",17,17,0,17,4,12,1,13,22,35,-13,0,0,39.5
"Burnley",18,18,0,16,1,7,8,11,15,24,-9,0,0,36.8
"Newcastle Utd",19,19,0,19,1,10,8,11,19,42,-23,0,0,80.6
"Norwich City",20,20,0,19,2,13,4,10,8,42,-34,0,0,90
