"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,30,23,3,4,73,70,18,52,100,57.7,0
"Liverpool",2,2,0,30,22,2,6,72,77,20,57,100,42.2,0
"Chelsea",3,3,0,30,18,4,8,62,64,23,41,99.4,0.1,0
"Tottenham",4,4,0,31,18,10,3,57,56,37,19,66.4,0,0
"Arsenal",5,5,0,30,17,10,3,54,45,36,9,28.7,0,0
"West Ham",6,6,0,31,15,10,6,51,51,40,11,2.6,0,0
"Manchester Utd",7,7,0,31,14,8,9,51,49,42,7,2.8,0,0
"Wolves",8,8,0,32,15,13,4,49,33,28,5,0,0,0
"Crystal Palace",9,9,0,30,8,9,13,37,42,38,4,0,0,0
"Leicester City",10,10,0,28,10,11,7,37,43,47,-4,0.1,0,0
"Brighton",11,13,2,31,8,10,13,37,28,37,-9,0,0,0
"Aston Villa",12,11,-1,31,11,17,3,36,42,46,-4,0,0,0.2
"Southampton",13,12,-1,31,8,11,12,36,37,52,-15,0,0,0.5
"Newcastle Utd",14,15,1,31,8,13,10,34,34,54,-20,0,0,3.2
"Brentford",15,14,-1,31,9,16,6,33,37,48,-11,0,0,2.2
"Leeds United",16,16,0,32,8,15,9,33,38,68,-30,0,0,10.6
"Everton",17,17,0,30,8,18,4,28,33,52,-19,0,0,32.3
"Burnley",18,18,0,29,4,13,12,24,25,42,-17,0,0,56.2
"Watford",19,19,0,31,6,21,4,22,29,60,-31,0,0,95.4
"Norwich City",20,20,0,30,4,20,6,18,18,63,-45,0,0,99.4
