"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Chelsea",1,1,0,8,6,1,1,19,16,3,13,82.7,15.6,0
"Liverpool",2,2,0,8,5,0,3,18,22,6,16,93.6,38.5,0
"Manchester City",3,3,0,8,5,1,2,17,16,3,13,93.8,40.6,0
"Brighton",4,6,2,8,4,1,3,15,8,5,3,11.7,0.1,2
"Tottenham",5,8,3,8,5,3,0,15,9,12,-3,24.1,1,0.6
"Manchester Utd",6,4,-2,8,4,2,2,14,16,10,6,33.5,2.3,0.3
"West Ham",7,9,2,8,4,2,2,14,15,10,5,16.8,0.5,0.8
"Everton",8,5,-3,8,4,2,2,14,13,9,4,8.9,0.4,1.6
"Brentford",9,7,-2,8,3,2,3,12,10,7,3,5.5,0.1,3.6
"Wolves",10,12,2,8,4,4,0,12,8,8,0,5.9,0.2,4
"Leicester City",11,13,2,8,3,3,2,11,13,14,-1,8.3,0.1,1.3
"Arsenal",12,11,-1,8,3,3,2,11,7,12,-5,8.5,0.4,4
"Aston Villa",13,10,-3,8,3,4,1,10,12,12,0,4,0.2,4.9
"Crystal Palace",14,14,0,8,1,2,5,8,10,13,-3,1.1,0,16.7
"Southampton",15,17,2,8,1,3,4,7,6,10,-4,1.1,0,14.5
"Watford",16,15,-1,8,2,5,1,7,7,15,-8,0,0,49.7
"Leeds United",17,16,-1,8,1,4,3,6,7,15,-8,0.4,0,24.1
"Burnley",18,18,0,8,0,5,3,3,5,13,-8,0,0,45.3
"Newcastle Utd",19,19,0,8,0,5,3,3,10,19,-9,0.1,0,54.3
"Norwich City",20,20,0,8,0,6,2,2,2,16,-14,0,0,72.3
