"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,2,1,15,11,2,2,35,32,9,23,99.5,46.9,0
"Liverpool",2,3,1,15,10,1,4,34,44,12,32,99.1,40.1,0
"Chelsea",3,1,-2,15,10,2,3,33,35,9,26,94.2,12.9,0
"West Ham",4,4,0,15,8,4,3,27,28,19,9,37.8,0.1,0.1
"Tottenham",5,6,1,14,8,5,1,25,16,17,-1,18,0,0.3
"Manchester Utd",6,7,1,15,7,5,3,24,25,24,1,24.5,0,0.1
"Arsenal",7,5,-2,15,7,6,2,23,18,22,-4,12.4,0,0.4
"Wolves",8,8,0,15,6,6,3,21,12,13,-1,2.5,0,2.5
"Brighton",9,9,0,15,4,3,8,20,14,16,-2,3.9,0,1.3
"Aston Villa",10,13,3,15,6,8,1,19,21,24,-3,2.6,0,4.1
"Leicester City",11,10,-1,15,5,6,4,19,23,27,-4,3.1,0,4.8
"Everton",12,14,2,15,5,7,3,18,19,25,-6,1.4,0,5.7
"Brentford",13,12,-1,15,4,6,5,17,19,21,-2,0.1,0,15.5
"Crystal Palace",14,11,-3,15,3,5,7,16,19,21,-2,0.5,0,10.8
"Leeds United",15,15,0,15,3,5,7,16,15,22,-7,0.3,0,16.6
"Southampton",16,16,0,15,3,5,7,16,14,21,-7,0.1,0,13.9
"Watford",17,17,0,15,4,10,1,13,20,29,-9,0,0,35
"Burnley",18,18,0,14,1,6,7,10,14,21,-7,0,0,45.1
"Newcastle Utd",19,20,1,15,1,7,7,10,17,30,-13,0,0,72.8
"Norwich City",20,19,-1,15,2,9,4,10,8,31,-23,0,0,71
