"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,37,28,3,6,90,96,24,72,100,86.1,0
"Liverpool",2,2,0,36,26,2,8,86,89,24,65,100,13.9,0
"Chelsea",3,3,0,36,20,6,10,70,73,31,42,100,0,0
"Tottenham",4,5,1,37,21,11,5,68,64,40,24,86.6,0,0
"Arsenal",5,4,-1,37,21,13,3,66,56,47,9,13.4,0,0
"Manchester Utd",6,6,0,37,16,11,10,58,57,56,1,0,0,0
"West Ham",7,7,0,37,16,13,8,56,59,48,11,0,0,0
"Wolves",8,8,0,37,15,16,6,51,37,40,-3,0,0,0
"Leicester City",9,10,1,36,13,14,9,48,57,57,0,0,0,0
"Brighton",10,9,-1,37,11,11,15,48,39,43,-4,0,0,0
"Brentford",11,13,2,37,13,17,7,46,47,54,-7,0,0,0
"Newcastle Utd",12,14,2,37,12,15,10,46,42,61,-19,0,0,0
"Crystal Palace",13,11,-2,36,10,11,15,45,47,43,4,0,0,0
"Aston Villa",14,12,-2,36,13,18,5,44,49,50,-1,0,0,0
"Southampton",15,15,0,36,9,14,13,40,41,61,-20,0,0,0
"Everton",16,16,0,36,10,20,6,36,39,59,-20,0,0,7.5
"Leeds United",17,18,1,37,8,18,11,35,40,78,-38,0,0,56.4
"Burnley",18,17,-1,36,7,16,13,34,32,50,-18,0,0,36.1
"Watford",19,19,0,37,6,26,5,23,33,75,-42,0,0,100
"Norwich City",20,20,0,37,5,25,7,22,23,79,-56,0,0,100
