"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,33,25,3,5,80,80,21,59,100,51.7,0
"Liverpool",2,2,0,33,24,2,7,79,85,22,63,100,48.3,0
"Chelsea",3,3,0,32,19,5,8,65,67,27,40,100,0,0
"Arsenal",4,5,1,33,19,11,3,60,52,40,12,63.6,0,0
"Tottenham",5,4,-1,33,18,11,4,58,56,38,18,35.8,0,0
"Manchester Utd",6,6,0,34,15,10,9,54,53,51,2,0.6,0,0
"West Ham",7,7,0,34,15,12,7,52,52,44,8,0,0,0
"Wolves",8,8,0,33,15,14,4,49,33,29,4,0,0,0
"Newcastle Utd",9,11,2,34,11,13,10,43,40,55,-15,0,0,0
"Leicester City",10,9,-1,32,11,12,9,42,47,51,-4,0,0,0
"Brighton",11,10,-1,34,9,11,14,41,31,42,-11,0,0,0
"Brentford",12,12,0,34,11,16,7,40,41,49,-8,0,0,0
"Southampton",13,13,0,34,9,12,13,40,40,56,-16,0,0,0
"Crystal Palace",14,14,0,32,8,11,13,37,43,41,2,0,0,0
"Aston Villa",15,15,0,32,11,17,4,37,42,46,-4,0,0,0.2
"Leeds United",16,16,0,32,8,15,9,33,38,68,-30,0,0,14.3
"Burnley",17,18,1,33,6,14,13,31,29,45,-16,0,0,31.3
"Everton",18,17,-1,32,8,19,5,29,34,55,-21,0,0,55.1
"Watford",19,19,0,33,6,23,4,22,31,67,-36,0,0,99.1
"Norwich City",20,20,0,33,5,22,6,21,22,69,-47,0,0,100
