"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,16,12,2,2,38,33,9,24,99.6,46.1,0
"Liverpool",2,2,0,16,11,1,4,37,45,12,33,99.5,40.3,0
"Chelsea",3,3,0,16,11,2,3,36,38,11,27,96.6,13.4,0
"West Ham",4,4,0,16,8,4,4,28,28,19,9,29.2,0.1,0
"Manchester Utd",5,6,1,16,8,5,3,27,26,24,2,22,0,0
"Arsenal",6,7,1,16,8,6,2,26,21,22,-1,22.2,0,0
"Tottenham",7,5,-2,14,8,5,1,25,16,17,-1,16.6,0.1,0.1
"Leicester City",8,11,3,16,6,6,4,22,27,27,0,2.6,0,2
"Wolves",9,8,-1,16,6,7,3,21,12,14,-2,1,0,3.7
"Brentford",10,13,3,16,5,6,5,20,21,22,-1,1,0,6
"Brighton",11,9,-2,15,4,3,8,20,14,16,-2,4.6,0,1.2
"Crystal Palace",12,14,2,16,4,5,7,19,22,22,0,2.3,0,3.6
"Aston Villa",13,10,-3,16,6,9,1,19,21,25,-4,1.5,0,4.3
"Everton",14,12,-2,16,5,8,3,18,20,28,-8,1,0,10
"Leeds United",15,15,0,16,3,6,7,16,17,25,-8,0.1,0,15.9
"Southampton",16,16,0,16,3,6,7,16,14,24,-10,0.2,0,18.4
"Watford",17,17,0,16,4,11,1,13,21,31,-10,0,0,43.1
"Burnley",18,18,0,15,1,6,8,11,14,21,-7,0,0,38.8
"Newcastle Utd",19,19,0,16,1,8,7,10,17,34,-17,0,0,77.7
"Norwich City",20,20,0,16,2,10,4,10,8,32,-24,0,0,75.2
