"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,23,18,2,3,57,55,14,41,100,83.6,0
"Liverpool",2,2,0,22,14,2,6,48,58,19,39,99.6,14.9,0
"Chelsea",3,3,0,23,13,3,7,46,47,17,30,93.9,1.5,0
"Manchester Utd",4,7,3,22,11,6,5,38,36,30,6,21.6,0,0
"West Ham",5,4,-1,23,11,8,4,37,41,31,10,10,0,0
"Arsenal",6,6,0,21,11,7,3,36,33,25,8,29.6,0,0
"Tottenham",7,5,-2,20,11,6,3,36,26,24,2,34.1,0,0
"Wolves",8,8,0,21,10,7,4,34,19,16,3,7,0,0
"Brighton",9,9,0,21,6,4,11,29,22,22,0,2.1,0,0
"Leicester City",10,10,0,20,7,8,5,26,34,37,-3,1.4,0,0.8
"Aston Villa",11,13,2,21,8,11,2,26,28,32,-4,0.5,0,0.6
"Southampton",12,12,0,22,5,7,10,25,26,34,-8,0.2,0,2.6
"Crystal Palace",13,11,-2,22,5,8,9,24,31,34,-3,0,0,4.3
"Brentford",14,14,0,23,6,12,5,23,26,38,-12,0,0,12.1
"Leeds United",15,15,0,21,5,9,7,22,24,40,-16,0,0,12.5
"Everton",16,16,0,20,5,11,4,19,24,35,-11,0,0,14.4
"Norwich City",17,18,1,22,4,14,4,16,13,45,-32,0,0,75.9
"Newcastle Utd",18,19,1,21,2,10,9,15,21,43,-22,0,0,67.5
"Watford",19,17,-2,20,4,14,2,14,23,40,-17,0,0,65
"Burnley",20,20,0,18,1,8,9,12,16,27,-11,0,0,44.3
