"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Chelsea",1,1,0,13,9,1,3,30,31,5,26,95.8,23.8,0
"Manchester City",2,2,0,13,9,2,2,29,27,7,20,98.3,40.9,0
"Liverpool",3,3,0,13,8,1,4,28,39,11,28,97.3,34.5,0
"West Ham",4,4,0,13,7,4,2,23,24,16,8,39.3,0.5,0.1
"Arsenal",5,5,0,13,7,4,2,23,15,17,-2,23.1,0.1,0.1
"Wolves",6,6,0,13,6,5,2,20,12,12,0,3.6,0,3.1
"Tottenham",7,7,0,12,6,5,1,19,11,17,-6,6.1,0,2.3
"Manchester Utd",8,8,0,13,5,5,3,18,21,22,-1,15.6,0.1,0.6
"Brighton",9,9,0,13,4,3,6,18,12,14,-2,7.1,0,2
"Leicester City",10,12,2,13,5,5,3,18,20,23,-3,4.9,0.1,3.4
"Crystal Palace",11,10,-1,13,3,3,7,16,19,19,0,2.9,0,6.2
"Brentford",12,14,2,13,4,5,4,16,17,17,0,1.1,0,8.6
"Aston Villa",13,15,2,13,5,7,1,16,18,21,-3,2.9,0,5.7
"Everton",14,11,-3,13,4,6,3,15,16,20,-4,1.2,0,12.5
"Southampton",15,13,-2,13,3,5,5,14,11,18,-7,0.5,0,14.7
"Watford",16,16,0,13,4,8,1,13,18,24,-6,0,0,36.2
"Leeds United",17,17,0,13,2,5,6,12,12,20,-8,0.3,0,21
"Burnley",18,18,0,12,1,5,6,9,14,20,-6,0,0,34.9
"Norwich City",19,19,0,13,2,8,3,9,7,27,-20,0,0,73.4
"Newcastle Utd",20,20,0,13,0,7,6,6,15,29,-14,0,0,75.2
