"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,21,17,2,2,53,53,13,40,100,87.4,0
"Chelsea",2,2,0,21,12,2,7,43,45,16,29,92,2.6,0
"Liverpool",3,3,0,20,12,2,6,42,52,18,34,98.3,10,0
"Arsenal",4,4,0,20,11,7,2,35,33,25,8,37.3,0,0
"West Ham",5,5,0,20,10,6,4,34,37,27,10,18.8,0,0
"Tottenham",6,7,1,18,10,5,3,33,23,20,3,32.5,0,0
"Manchester Utd",7,6,-1,19,9,6,4,31,30,27,3,12,0,0
"Wolves",8,8,0,19,8,7,4,28,14,14,0,3.4,0,0.4
"Brighton",9,10,1,19,6,4,9,27,20,20,0,2.5,0,0.1
"Leicester City",10,9,-1,18,7,7,4,25,31,33,-2,3,0,0.3
"Southampton",11,11,0,20,5,6,9,24,24,30,-6,0,0,3.5
"Crystal Palace",12,12,0,20,5,7,8,23,29,30,-1,0.1,0,1.3
"Brentford",13,14,1,20,6,9,5,23,24,30,-6,0,0,5.7
"Aston Villa",14,13,-1,19,7,11,1,22,25,30,-5,0.1,0,1.7
"Everton",15,15,0,18,5,9,4,19,23,32,-9,0,0,7
"Leeds United",16,16,0,19,4,8,7,19,21,37,-16,0,0,12.9
"Watford",17,17,0,18,4,13,1,13,22,36,-14,0,0,53.1
"Burnley",18,18,0,17,1,8,8,11,16,27,-11,0,0,46.2
"Newcastle Utd",19,19,0,19,1,10,8,11,19,42,-23,0,0,78.5
"Norwich City",20,20,0,19,2,13,4,10,8,42,-34,0,0,89.3
