"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester City",1,1,0,29,22,3,4,70,68,18,50,100,62.3,0
"Liverpool",2,2,0,28,20,2,6,66,73,20,53,100,36.7,0
"Chelsea",3,3,0,28,17,3,8,59,57,19,38,98.9,1,0
"Arsenal",4,4,0,26,16,7,3,51,43,29,14,72.1,0,0
"Manchester Utd",5,5,0,29,14,7,8,50,48,40,8,12.1,0,0
"West Ham",6,6,0,29,14,9,6,48,48,36,12,5.6,0,0
"Wolves",7,8,1,29,14,11,4,46,29,23,6,1.2,0,0
"Tottenham",8,7,-1,27,14,10,3,45,42,35,7,10.1,0,0
"Aston Villa",9,9,0,28,11,14,3,36,41,39,2,0,0,0
"Southampton",10,10,0,29,8,10,11,35,36,45,-9,0,0,0.1
"Crystal Palace",11,11,0,29,7,9,13,34,39,38,1,0,0,0.1
"Leicester City",12,12,0,26,9,11,6,33,40,45,-5,0,0,0
"Brighton",13,13,0,28,7,9,12,33,26,34,-8,0,0,0.4
"Newcastle Utd",14,14,0,28,7,11,10,31,32,48,-16,0,0,1.9
"Brentford",15,15,0,29,8,15,6,30,32,45,-13,0,0,4.4
"Leeds United",16,16,0,29,6,15,8,26,31,65,-34,0,0,35.2
"Everton",17,17,0,26,6,16,4,22,28,47,-19,0,0,32.6
"Watford",18,19,1,29,6,19,4,22,29,55,-26,0,0,78.7
"Burnley",19,18,-1,27,3,12,12,21,22,38,-16,0,0,48.6
"Norwich City",20,20,0,29,4,20,5,17,18,63,-45,0,0,98
