"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Tottenham",1,5,4,3,3,0,0,9,3,0,3,37.1,4.2,0.9
"West Ham",2,1,-1,3,2,0,1,7,10,5,5,19.5,1.3,2
"Manchester Utd",3,6,3,3,2,0,1,7,7,2,5,51,7.7,0.3
"Liverpool",5,3,-2,3,2,0,1,7,6,1,5,75.8,22.6,0
"Chelsea",4,2,-2,3,2,0,1,7,6,1,5,67.8,15.7,0.1
"Everton",6,7,1,3,2,0,1,7,7,3,4,16.3,1.2,1.9
"Manchester City",7,9,2,3,2,1,0,6,10,1,9,89.4,45.1,0
"Brighton",8,4,-4,3,2,1,0,6,4,3,1,7.5,0.4,7.6
"Leicester City",9,12,3,3,2,1,0,6,4,5,-1,11,1.1,3.1
"Brentford",10,8,-2,3,1,0,2,5,3,1,2,2.8,0.1,13.9
"Aston Villa",11,10,-1,3,1,1,1,4,5,4,1,7,0.3,9.3
"Watford",12,11,-1,3,1,2,0,3,3,5,-2,0.5,0,38.5
"Southampton",13,13,0,3,0,1,2,2,4,6,-2,1.6,0,17.4
"Crystal Palace",14,14,0,3,0,1,2,2,2,5,-3,1.1,0,28.8
"Leeds United",15,15,0,3,0,1,2,2,4,8,-4,3.7,0,13.9
"Burnley",16,17,1,3,0,2,1,1,2,5,-3,0.9,0,33.8
"Newcastle Utd",17,18,1,3,0,2,1,1,4,8,-4,0.6,0,42.6
"Wolves",18,16,-2,3,0,3,0,0,0,3,-3,1.3,0,22.4
"Norwich City",19,20,1,3,0,3,0,0,1,10,-9,0.3,0,52.3
"Arsenal",20,19,-1,3,0,3,0,0,0,9,-9,4.8,0.3,11.2
