"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.8","2.9","0.2"
"Liverpool","Liverpool","92.8","3.0","0.3"
"Chelsea","Chelsea","89.3","2.4","0.3"
"Arsenal","Arsenal","82.2","2.2","0.5"
"Tottenham","Tottenham","79.9","2.3","0.7"
"Man. United","Manchester Utd","78.4","2.2","0.7"
"West Ham","West Ham","74.3","2.0","0.7"
"Wolves","Wolves","73.8","1.7","0.5"
"Aston Villa","Aston Villa","76.7","2.0","0.6"
"Leicester","Leicester City","69.8","2.1","1.0"
"Crystal Palace","Crystal Palace","72.8","1.9","0.7"
"Brighton","Brighton","74.6","1.9","0.6"
"Southampton","Southampton","69.2","1.9","0.9"
"Newcastle","Newcastle Utd","66.7","1.8","0.9"
"Brentford","Brentford","67.1","1.8","0.9"
"Leeds United","Leeds United","61.6","1.9","1.1"
"Everton","Everton","63.8","1.7","0.9"
"Burnley","Burnley","64.4","1.6","0.8"
"Watford","Watford","59.0","1.6","1.1"
"Norwich","Norwich City","53.0","1.5","1.2"
