"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.2","2.8","0.2"
"Chelsea","Chelsea","89.6","2.5","0.3"
"Liverpool","Liverpool","88.7","2.6","0.4"
"Man. United","Manchester Utd","85.7","2.4","0.5"
"Tottenham","Tottenham","78.8","2.3","0.7"
"West Ham","West Ham","75.6","2.2","0.8"
"Brighton","Brighton","74.8","1.9","0.6"
"Arsenal","Arsenal","78.0","2.1","0.6"
"Leicester","Leicester City","75.2","2.1","0.7"
"Everton","Everton","74.0","2.0","0.7"
"Aston Villa","Aston Villa","72.1","2.0","0.8"
"Leeds United","Leeds United","70.6","2.0","0.9"
"Wolves","Wolves","71.5","1.8","0.7"
"Brentford","Brentford","64.3","1.7","0.9"
"Southampton","Southampton","65.3","1.8","1.0"
"Newcastle","Newcastle Utd","64.5","1.8","1.0"
"Burnley","Burnley","63.7","1.8","1.0"
"Crystal Palace","Crystal Palace","62.2","1.6","0.9"
"Watford","Watford","60.5","1.6","1.0"
"Norwich","Norwich City","59.6","1.6","1.0"
