"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.2","2.8","0.2"
"Liverpool","Liverpool","93.5","3.0","0.3"
"Chelsea","Chelsea","87.6","2.5","0.4"
"Arsenal","Arsenal","82.4","2.2","0.5"
"Tottenham","Tottenham","80.8","2.4","0.7"
"Man. United","Manchester Utd","76.5","2.1","0.7"
"West Ham","West Ham","72.5","2.0","0.8"
"Wolves","Wolves","71.6","1.7","0.6"
"Leicester","Leicester City","69.2","2.0","0.9"
"Brighton","Brighton","75.7","1.8","0.6"
"Crystal Palace","Crystal Palace","74.1","1.9","0.7"
"Brentford","Brentford","71.9","2.0","0.8"
"Aston Villa","Aston Villa","75.8","2.0","0.7"
"Newcastle","Newcastle Utd","68.8","1.8","0.8"
"Southampton","Southampton","65.4","1.9","1.0"
"Leeds United","Leeds United","63.7","1.9","1.1"
"Everton","Everton","63.3","1.7","1.0"
"Burnley","Burnley","63.3","1.7","0.9"
"Watford","Watford","58.8","1.6","1.1"
"Norwich","Norwich City","54.2","1.6","1.2"
