"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.5","3.0","0.3"
"Liverpool","Liverpool","93.1","2.9","0.3"
"Chelsea","Chelsea","88.4","2.4","0.3"
"Tottenham","Tottenham","84.1","2.5","0.6"
"Arsenal","Arsenal","80.2","2.2","0.6"
"Man. United","Manchester Utd","74.7","2.1","0.8"
"West Ham","West Ham","73.0","2.0","0.8"
"Leicester","Leicester City","71.3","2.0","0.8"
"Brighton","Brighton","80.0","2.1","0.5"
"Wolves","Wolves","69.6","1.8","0.8"
"Newcastle","Newcastle Utd","71.7","1.8","0.7"
"Crystal Palace","Crystal Palace","76.5","1.9","0.5"
"Brentford","Brentford","72.4","2.0","0.8"
"Aston Villa","Aston Villa","76.2","2.0","0.7"
"Southampton","Southampton","61.9","1.8","1.1"
"Everton","Everton","63.7","1.8","1.0"
"Leeds United","Leeds United","63.0","1.8","1.1"
"Burnley","Burnley","63.7","1.7","0.9"
"Watford","Watford","55.3","1.6","1.2"
"Norwich","Norwich City","47.1","1.5","1.4"
