"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.6","3.0","0.2"
"Liverpool","Liverpool","91.0","3.1","0.5"
"Chelsea","Chelsea","89.5","2.5","0.3"
"West Ham","West Ham","78.5","2.2","0.7"
"Man. United","Manchester Utd","80.9","2.3","0.6"
"Arsenal","Arsenal","77.7","2.0","0.6"
"Brighton","Brighton","76.1","1.9","0.6"
"Tottenham","Tottenham","73.2","2.0","0.8"
"Leicester","Leicester City","73.7","2.1","0.8"
"Crystal Palace","Crystal Palace","71.3","1.9","0.7"
"Wolves","Wolves","71.3","1.8","0.7"
"Everton","Everton","70.3","1.9","0.8"
"Southampton","Southampton","69.7","1.8","0.8"
"Brentford","Brentford","69.4","1.9","0.8"
"Leeds United","Leeds United","71.0","1.9","0.8"
"Aston Villa","Aston Villa","70.0","2.0","0.9"
"Burnley","Burnley","65.8","1.8","1.0"
"Watford","Watford","59.6","1.6","1.0"
"Newcastle","Newcastle Utd","61.0","1.7","1.1"
"Norwich","Norwich City","55.2","1.5","1.1"
