"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.7","3.0","0.2"
"Liverpool","Liverpool","91.4","3.1","0.4"
"Chelsea","Chelsea","88.9","2.4","0.3"
"Man. United","Manchester Utd","80.9","2.4","0.7"
"West Ham","West Ham","76.4","2.1","0.7"
"Arsenal","Arsenal","77.2","2.1","0.6"
"Tottenham","Tottenham","74.0","2.1","0.8"
"Leicester","Leicester City","74.4","2.2","0.8"
"Brighton","Brighton","74.7","1.9","0.6"
"Wolves","Wolves","73.1","1.8","0.6"
"Brentford","Brentford","71.3","1.8","0.7"
"Everton","Everton","70.0","1.9","0.9"
"Aston Villa","Aston Villa","71.4","2.0","0.9"
"Southampton","Southampton","68.6","1.8","0.8"
"Crystal Palace","Crystal Palace","67.3","1.8","0.8"
"Leeds United","Leeds United","69.9","1.9","0.8"
"Watford","Watford","60.3","1.7","1.0"
"Burnley","Burnley","64.4","1.8","1.0"
"Newcastle","Newcastle Utd","62.0","1.8","1.1"
"Norwich","Norwich City","55.8","1.5","1.1"
