"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.6","2.9","0.2"
"Liverpool","Liverpool","91.9","3.1","0.4"
"Chelsea","Chelsea","91.1","2.5","0.2"
"West Ham","West Ham","78.7","2.2","0.6"
"Arsenal","Arsenal","77.6","2.0","0.6"
"Man. United","Manchester Utd","79.0","2.3","0.7"
"Tottenham","Tottenham","72.3","1.9","0.8"
"Brighton","Brighton","76.2","1.9","0.5"
"Leicester","Leicester City","71.3","2.1","0.9"
"Wolves","Wolves","71.8","1.8","0.7"
"Crystal Palace","Crystal Palace","71.4","1.9","0.8"
"Aston Villa","Aston Villa","71.4","2.0","0.8"
"Everton","Everton","70.3","1.9","0.8"
"Brentford","Brentford","67.9","1.9","0.9"
"Southampton","Southampton","69.3","1.8","0.8"
"Leeds United","Leeds United","69.8","1.9","0.8"
"Burnley","Burnley","65.0","1.9","1.0"
"Watford","Watford","62.1","1.7","1.0"
"Newcastle","Newcastle Utd","60.5","1.8","1.1"
"Norwich","Norwich City","56.7","1.5","1.1"
