"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","92.8","2.9","0.3"
"Liverpool","Liverpool","90.6","3.0","0.5"
"Chelsea","Chelsea","89.7","2.5","0.3"
"Man. United","Manchester Utd","81.4","2.4","0.6"
"West Ham","West Ham","77.7","2.1","0.7"
"Arsenal","Arsenal","77.5","2.1","0.6"
"Brighton","Brighton","76.0","1.9","0.6"
"Tottenham","Tottenham","73.5","2.0","0.8"
"Leicester","Leicester City","74.3","2.1","0.8"
"Wolves","Wolves","73.0","1.8","0.7"
"Everton","Everton","70.0","2.0","0.9"
"Crystal Palace","Crystal Palace","69.6","1.8","0.8"
"Brentford","Brentford","69.8","1.8","0.8"
"Southampton","Southampton","69.7","1.8","0.8"
"Aston Villa","Aston Villa","69.8","2.0","0.9"
"Leeds United","Leeds United","70.3","1.9","0.8"
"Burnley","Burnley","65.7","1.8","0.9"
"Watford","Watford","59.5","1.6","1.0"
"Newcastle","Newcastle Utd","60.8","1.8","1.1"
"Norwich","Norwich City","55.5","1.5","1.1"
