"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.7","3.0","0.2"
"Liverpool","Liverpool","91.8","3.1","0.4"
"Chelsea","Chelsea","90.3","2.5","0.2"
"West Ham","West Ham","77.7","2.1","0.7"
"Man. United","Manchester Utd","78.4","2.3","0.7"
"Arsenal","Arsenal","76.4","2.0","0.6"
"Tottenham","Tottenham","73.6","2.0","0.8"
"Brighton","Brighton","75.4","1.9","0.6"
"Wolves","Wolves","72.5","1.8","0.7"
"Crystal Palace","Crystal Palace","71.4","1.9","0.8"
"Leicester","Leicester City","72.5","2.0","0.8"
"Everton","Everton","70.1","1.9","0.8"
"Aston Villa","Aston Villa","71.2","2.0","0.8"
"Southampton","Southampton","69.6","1.8","0.8"
"Brentford","Brentford","67.9","1.9","0.9"
"Leeds United","Leeds United","70.4","1.9","0.8"
"Watford","Watford","62.0","1.7","1.0"
"Burnley","Burnley","65.0","1.9","1.0"
"Newcastle","Newcastle Utd","61.9","1.8","1.1"
"Norwich","Norwich City","55.4","1.5","1.1"
