"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.7","3.0","0.2"
"Liverpool","Liverpool","92.2","3.1","0.4"
"Chelsea","Chelsea","88.6","2.5","0.4"
"Arsenal","Arsenal","81.9","2.2","0.5"
"Man. United","Manchester Utd","78.2","2.2","0.7"
"Tottenham","Tottenham","78.3","2.2","0.7"
"West Ham","West Ham","76.2","2.1","0.7"
"Leicester","Leicester City","72.9","2.2","0.9"
"Brighton","Brighton","77.3","1.9","0.5"
"Aston Villa","Aston Villa","72.6","2.0","0.8"
"Wolves","Wolves","72.4","1.7","0.6"
"Crystal Palace","Crystal Palace","70.2","1.9","0.8"
"Everton","Everton","68.8","1.9","0.9"
"Brentford","Brentford","68.2","1.8","0.8"
"Southampton","Southampton","67.2","1.8","0.9"
"Leeds United","Leeds United","66.6","1.9","1.0"
"Burnley","Burnley","65.0","1.8","0.9"
"Watford","Watford","61.0","1.8","1.1"
"Newcastle","Newcastle Utd","59.0","1.7","1.1"
"Norwich","Norwich City","54.1","1.5","1.1"
