"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.3","2.9","0.2"
"Liverpool","Liverpool","89.3","2.7","0.4"
"Chelsea","Chelsea","89.1","2.4","0.3"
"Man. United","Manchester Utd","85.2","2.4","0.5"
"Tottenham","Tottenham","78.7","2.2","0.7"
"West Ham","West Ham","74.5","2.2","0.8"
"Everton","Everton","75.0","2.0","0.7"
"Leicester","Leicester City","74.9","2.0","0.7"
"Brighton","Brighton","73.8","1.9","0.7"
"Arsenal","Arsenal","75.8","2.0","0.7"
"Aston Villa","Aston Villa","71.3","2.0","0.8"
"Leeds United","Leeds United","70.8","2.0","0.9"
"Wolves","Wolves","72.3","1.8","0.7"
"Brentford","Brentford","65.3","1.7","0.8"
"Southampton","Southampton","66.5","1.9","0.9"
"Burnley","Burnley","63.6","1.8","1.0"
"Crystal Palace","Crystal Palace","63.0","1.7","0.9"
"Newcastle","Newcastle Utd","62.9","1.8","1.1"
"Watford","Watford","60.9","1.6","1.0"
"Norwich","Norwich City","60.0","1.6","1.0"
