"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.3","2.9","0.2"
"Liverpool","Liverpool","92.2","3.1","0.4"
"Chelsea","Chelsea","90.5","2.5","0.2"
"West Ham","West Ham","77.8","2.1","0.7"
"Man. United","Manchester Utd","79.2","2.3","0.7"
"Arsenal","Arsenal","77.1","2.0","0.6"
"Tottenham","Tottenham","73.4","2.0","0.7"
"Brighton","Brighton","77.1","1.9","0.5"
"Leicester","Leicester City","71.0","2.1","0.9"
"Wolves","Wolves","72.2","1.7","0.6"
"Aston Villa","Aston Villa","72.1","2.0","0.8"
"Crystal Palace","Crystal Palace","70.9","1.9","0.8"
"Everton","Everton","69.7","1.9","0.8"
"Southampton","Southampton","69.3","1.8","0.8"
"Leeds United","Leeds United","70.5","1.9","0.8"
"Brentford","Brentford","66.8","1.8","0.9"
"Burnley","Burnley","65.3","1.8","1.0"
"Watford","Watford","63.4","1.8","1.0"
"Norwich","Norwich City","57.9","1.5","1.0"
"Newcastle","Newcastle Utd","59.3","1.7","1.1"
