"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.3","2.9","0.2"
"Liverpool","Liverpool","92.9","3.1","0.3"
"Chelsea","Chelsea","88.7","2.6","0.4"
"West Ham","West Ham","77.6","2.1","0.6"
"Man. United","Manchester Utd","78.2","2.2","0.7"
"Arsenal","Arsenal","77.9","2.1","0.6"
"Tottenham","Tottenham","73.4","2.0","0.7"
"Brighton","Brighton","76.8","1.9","0.5"
"Leicester","Leicester City","72.2","2.1","0.9"
"Aston Villa","Aston Villa","72.2","2.0","0.8"
"Crystal Palace","Crystal Palace","71.8","1.9","0.7"
"Wolves","Wolves","71.2","1.7","0.6"
"Brentford","Brentford","67.7","1.9","0.9"
"Everton","Everton","69.1","1.9","0.8"
"Leeds United","Leeds United","70.8","1.9","0.8"
"Southampton","Southampton","68.0","1.8","0.8"
"Burnley","Burnley","65.3","1.8","0.9"
"Watford","Watford","62.4","1.8","1.0"
"Newcastle","Newcastle Utd","59.5","1.7","1.1"
"Norwich","Norwich City","58.0","1.6","1.0"
