"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.7","2.9","0.2"
"Liverpool","Liverpool","92.0","3.0","0.4"
"Chelsea","Chelsea","89.0","2.4","0.3"
"Tottenham","Tottenham","80.0","2.2","0.6"
"Arsenal","Arsenal","81.7","2.1","0.5"
"Man. United","Manchester Utd","77.3","2.2","0.7"
"West Ham","West Ham","74.5","2.1","0.8"
"Wolves","Wolves","74.0","1.7","0.5"
"Brighton","Brighton","78.2","1.9","0.5"
"Leicester","Leicester City","71.5","2.2","1.0"
"Aston Villa","Aston Villa","73.6","2.0","0.7"
"Crystal Palace","Crystal Palace","70.7","1.9","0.8"
"Southampton","Southampton","68.3","1.9","0.9"
"Leeds United","Leeds United","67.1","1.9","1.0"
"Brentford","Brentford","66.5","1.8","0.9"
"Everton","Everton","65.5","1.8","1.0"
"Newcastle","Newcastle Utd","62.0","1.7","1.0"
"Burnley","Burnley","63.7","1.7","0.9"
"Watford","Watford","60.1","1.6","1.0"
"Norwich","Norwich City","55.9","1.5","1.1"
