"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.6","2.9","0.2"
"Liverpool","Liverpool","93.6","2.9","0.2"
"Chelsea","Chelsea","86.8","2.5","0.4"
"Arsenal","Arsenal","82.5","2.2","0.5"
"Tottenham","Tottenham","81.4","2.3","0.6"
"Man. United","Manchester Utd","74.6","2.1","0.8"
"West Ham","West Ham","74.2","2.0","0.7"
"Wolves","Wolves","70.3","1.7","0.7"
"Brighton","Brighton","79.3","2.0","0.5"
"Crystal Palace","Crystal Palace","76.4","1.9","0.6"
"Leicester","Leicester City","69.0","1.9","0.9"
"Aston Villa","Aston Villa","77.5","2.0","0.6"
"Brentford","Brentford","73.2","2.0","0.7"
"Newcastle","Newcastle Utd","69.5","1.8","0.8"
"Southampton","Southampton","63.2","1.8","1.1"
"Everton","Everton","64.7","1.7","0.9"
"Leeds United","Leeds United","63.0","1.9","1.1"
"Burnley","Burnley","63.5","1.7","0.9"
"Watford","Watford","56.8","1.6","1.1"
"Norwich","Norwich City","50.0","1.5","1.3"
